"""1895"""$"""2074"""$"""Robert Gadocha"""$"""59"""$"""27430"""$"""0"""
"""1896"""$"""2074"""$"""Kazimierz Deyna"""$"""87"""$"""27127"""$"""0"""
"""1897"""$"""2074"""$"""Robert Gadocha"""$"""89"""$"""27430"""$"""0"""
"""1898"""$"""2075"""$"""Jerzy Gorgon"""$"""6"""$"""27598"""$"""0"""
"""1899"""$"""2075"""$"""Jerzy Gorgon"""$"""64"""$"""27598"""$"""0"""
"""1900"""$"""2076"""$"""Kazimierz Deyna"""$"""36"""$"""27127"""$"""0"""
"""1901"""$"""2077"""$"""Kazimierz Deyna"""$"""79 p"""$"""27127"""$"""0"""
"""1902"""$"""2077"""$"""Zygfryd Szołtysik"""$"""87"""$"""112012"""$"""0"""
"""1903"""$"""2078"""$"""Kazimierz Kmiecik"""$$"""30687"""$"""0"""
"""1904"""$"""2078"""$"""Wlodzimierz Lubański"""$"""10"""$"""30982"""$"""0"""
"""1905"""$"""2078"""$"""Kazimierz Deyna"""$"""45 p"""$"""27127"""$"""0"""
"""1906"""$"""2078"""$"""Robert Gadocha"""$"""63"""$"""27430"""$"""0"""
"""1907"""$"""2078"""$"""Kazimierz Deyna"""$"""84"""$"""27127"""$"""0"""
"""1908"""$"""2079"""$"""Kazimierz Deyna"""$"""47"""$"""27127"""$"""0"""
"""1909"""$"""2079"""$"""Kazimierz Deyna"""$"""66"""$"""27127"""$"""0"""
"""1910"""$"""2080"""$"""Kazimierz Deyna"""$"""28"""$"""27127"""$"""0"""
"""1911"""$"""2080"""$"""Kazimierz Deyna"""$"""35"""$"""27127"""$"""0"""
"""1912"""$"""2080"""$"""Robert Gadocha"""$"""63"""$"""27430"""$"""0"""
"""1967"""$"""2113"""$"""Robert Gadocha"""$"""31"""$"""27430"""$"""0"""
"""1968"""$"""2113"""$"""Andrzej Szarmach"""$"""53"""$"""13150"""$"""0"""
"""2002"""$"""2130"""$"""Andrzej Szarmach"""$"""50"""$"""13150"""$"""0"""
"""2003"""$"""2130"""$"""Kazimierz Deyna"""$"""52"""$"""27127"""$"""0"""
"""2004"""$"""2130"""$"""Andrzej Szarmach"""$"""72"""$"""13150"""$"""0"""
"""2005"""$"""2131"""$"""Andrzej Szarmach"""$"""14"""$"""13150"""$"""0"""
"""2006"""$"""2131"""$"""Andrzej Szarmach"""$"""49"""$"""13150"""$"""0"""
"""2007"""$"""2131"""$"""Grzegorz Lato"""$"""58"""$"""13144"""$"""0"""
"""2008"""$"""2131"""$"""Antoni Szymanowski"""$"""65"""$"""31804"""$"""0"""
"""2009"""$"""2131"""$"""Grzegorz Lato"""$"""79"""$"""13144"""$"""0"""
"""2010"""$"""2132"""$"""Grzegorz Lato"""$"""59"""$"""13144"""$"""0"""
"""2065"""$"""2163"""$"""Grzegorz Lato"""$"""6"""$"""13144"""$"""0"""
"""2101"""$"""2186"""$"""Włodzimierz Lubański"""$"""40 p"""$"""30982"""$"""0"""
"""2112"""$"""2191"""$"""Kazimierz Buda (9). Jarosław Nowicki"""$"""29"""$"""111473"""$"""0"""
"""2113"""$"""2192"""$"""Krzysztof Kajrys"""$"""17"""$"""6991"""$"""0"""
"""2114"""$"""2192"""$"""Henryk Janikowski"""$"""32"""$"""109342"""$"""0"""
"""2115"""$"""2192"""$"""Henryk Janikowski"""$"""81"""$"""109342"""$"""0"""
"""2116"""$"""2192"""$"""Krzystof Baran"""$"""87"""$"""107753"""$"""0"""
"""2117"""$"""2193"""$"""Adani Walczak"""$"""3"""$"""112133"""$"""0"""
"""2118"""$"""2193"""$"""Kazimierz Buda"""$"""5"""$"""75769"""$"""0"""
"""2119"""$"""2193"""$"""Krzysztof Baran"""$"""44"""$"""107753"""$"""0"""
"""2120"""$"""2193"""$"""Piotr Rzepka"""$"""68"""$"""111692"""$"""0"""
"""2121"""$"""2194"""$"""Miroslaw Pękała"""$"""39"""$"""111543"""$"""0"""
"""2123"""$"""2194"""$"""Mirosław Okoński"""$"""88"""$"""6871"""$"""0"""
"""2194"""$"""2243"""$"""Waldemar Prusik"""$"""47"""$"""44974"""$"""0"""
"""2222"""$"""2268"""$"""Ryszard Tarasiewicz"""$"""61"""$"""10657"""$"""0"""
