"98"$"141"$"Kohler"$"57"$"0"$"0"
"99"$"141"$"Kohler"$$"0"$"0"
"3966"$"3503"$"Peres"$"90 p"$"0"$"0"
"3967"$"3504"$"Hunıberto Coelho"$"8"$"0"$"0"
"3969"$"3504"$"Artiır Jorge"$"46"$"0"$"0"
"3970"$"3504"$"Jordào"$"83"$"0"$"0"
"3978"$"3509"$"Peres"$"35"$"0"$"0"
"3992"$"3522"$"Octavio"$"4"$"0"$"0"
"3994"$"3523"$"Marinlıo"$"64"$"0"$"0"
"3995"$"3526"$"Neiié"$"25"$"0"$"0"
"3997"$"3527"$"Ňené"$"7"$"0"$"0"
"3998"$"3529"$"Alves"$"21"$"0"$"0"
"3999"$"3530"$"Fragnito"$"82"$"0"$"0"
"4002"$"3535"$"Alves"$"50"$"0"$"0"
"4012"$"3540"$"Costa"$"30"$"0"$"0"
"4016"$"3544"$"Alves"$"35"$"0"$"0"
"4050"$"3575"$"Jukka Ikälainen"$"46 "$"0"$"0"
"4056"$"3581"$"Sousa"$"52"$"0"$"0"
"4065"$"3589"$"Gores"$"13"$"0"$"0"
"4066"$"3589"$"Gores"$"73"$"0"$"0"
"4082"$"3607"$"Gores"$"34"$"0"$"0"
"4086"$"3613"$"Paneira"$"65"$"0"$"0"
"4087"$"3614"$"Paneira"$"53"$"0"$"0"
"4096"$"3616"$"Paneira"$"68"$"0"$"0"
"4097"$"3621"$"Rui Aguas"$"72"$"0"$"0"
"4098"$"3622"$"Rui Aguas"$"44"$"0"$"0"
"4099"$"3622"$"Rui Aguas"$"51"$"0"$"0"
"4100"$"3622"$"Rui Baios"$"72"$"0"$"0"
"4101"$"3624"$"Rui Aguas"$"57"$"0"$"0"
"4102"$"3626"$"Rui Aguas"$"53"$"0"$"0"
"4104"$"3629"$"Rui Aguas"$"18"$"0"$"0"
"4107"$"3631"$"Rui Aguas"$"4"$"0"$"0"
"4109"$"3631"$"Paneira"$"40 p"$"0"$"0"
"4114"$"3636"$"Joao Vieira Pinto"$"16"$"0"$"0"
"4118"$"3644"$"Figo"$"16"$"0"$"0"
"4120"$"3645"$"Ruí Aguas"$"58"$"0"$"0"
"4130"$"3650"$"João Vieira Pinto"$"23"$"0"$"0"
"4134"$"3652"$"João Vieira Pinto"$"8"$"0"$"0"
"4142"$"3658"$"João Vieira Pinto"$"32"$"0"$"0"
"4143"$"3658"$"João Vieira Pinto"$"69"$"0"$"0"
"4144"$"3658"$"Figo"$"70"$"0"$"0"
"4145"$"3659"$"Figo"$"36"$"0"$"0"
"4149"$"3660"$"João Vieira Pinto"$"56"$"0"$"0"
"4157"$"3665"$"Figo"$"4"$"0"$"0"
"4167"$"3672"$"Follia"$"51"$"0"$"0"
"4171"$"3677"$"Figo"$"4"$"0"$"0"
"4172"$"3677"$"João Vieira Pinto"$"33"$"0"$"0"
"4174"$"3680"$"João Vieira Pinto"$"83"$"0"$"0"
"4175"$"3681"$"Figo"$"11"$"0"$"0"
"4179"$"3687"$"João Vieira Pinto"$"14"$"0"$"0"
"4180"$"3687"$"Figo"$"70"$"0"$"0"
"4182"$"3688"$"Figo"$"30"$"0"$"0"
"4191"$"3695"$"João Vieira Pinto"$"16"$"0"$"0"
"4192"$"3695"$"João Vieira Pinto"$"33"$"0"$"0"
"4197"$"3698"$"João Vieira Pinto"$"36"$"0"$"0"
"4199"$"3698"$"João Vieira Pinto"$"71"$"0"$"0"
"4204"$"3699"$"Figo"$"79"$"0"$"0"
"4210"$"3701"$"João Vieira Pinto"$"40"$"0"$"0"
"4213"$"3701"$"João Vieira Pinto"$"59"$"0"$"0"
"4214"$"3701"$"João Vieira Pinto"$"68"$"0"$"0"
"4218"$"3702"$"João Vieira Pinto"$"36"$"0"$"0"
"4219"$"3702"$"Figo"$"45"$"0"$"0"
"4221"$"3703"$"Figo"$"90"$"0"$"0"
"4222"$"3704"$"Figo"$"45"$"0"$"0"
"4224"$"3707"$"Figo"$"50"$"0"$"0"
"4225"$"3709"$"Figo"$"21"$"0"$"0"
"4228"$"3710"$"Figo"$"22"$"0"$"0"
"4229"$"3710"$"João Vieira Pinto"$"38"$"0"$"0"
"4236"$"3715"$"João Vieira Pinto"$"31"$"0"$"0"
"4237"$"3715"$"Figo"$"39"$"0"$"0"
"4239"$"3715"$"Boto"$"80"$"0"$"0"
"4242"$"3716"$"Figo"$"48"$"0"$"0"
"4246"$"3719"$"Figo"$"48"$"0"$"0"
"4248"$"3720"$"Figo"$"1"$"0"$"0"
"4250"$"3720"$"Figo"$"48"$"0"$"0"
"4251"$"3723"$"Figo"$"78"$"0"$"0"
"4256"$"3724"$"João Vieira Pinto"$"75"$"0"$"0"
"4257"$"3724"$"João Vieira Pinto"$"80"$"0"$"0"
"4258"$"3725"$"Figo"$"42 p"$"0"$"0"
"4259"$"3725"$"Figo"$"58 p"$"0"$"0"
"4260"$"3725"$"Figo"$"88"$"0"$"0"
"4261"$"3726"$"Nuno Gores"$"36"$"0"$"0"
"4268"$"3727"$"Nuno Gores"$"48"$"0"$"0"
"4271"$"3728"$"João Vieira Pinto"$"29"$"0"$"0"
"4275"$"3728"$"Figo"$"78"$"0"$"0"
"4276"$"3729"$"Figo"$"25 p"$"0"$"0"
"4283"$"3733"$"Nuno Games"$"50"$"0"$"0"
