"328"$"315"$"Davor Šuker"$"46"$"1"$"0"
"329"$"316"$"Robert Prosinečki"$"16"$"1099"$"0"
"330"$"316"$"Davor Šuker"$"36"$"1"$"0"
"331"$"318"$"Dario Šimić"$"54"$"1096"$"0"
"332"$"318"$"Davor Vugrinec"$"67"$"1098"$"0"
"333"$"318"$"Davor Vugrinec"$"74"$"1098"$"0"
"334"$"318"$"Davor Šuker"$"82"$"1"$"0"
"335"$"319"$"Davor Suker"$"16"$"1"$"0"
"336"$"319"$"Zvonimir Boban"$"45"$"2977"$"0"
"337"$"319"$"Zvonimir Boban"$"70"$"2977"$"0"
"338"$"321"$"Goran Vlaović"$"68"$"1094"$"0"
"339"$"321"$"Davor Šuker"$"80"$"1"$"0"
"340"$"323"$"Davor Šiiker"$"10"$"1"$"0"
"341"$"324"$"Davor Šiiker"$"19"$"1"$"0"
"342"$"325"$"Igor Cvitanović"$"45"$"14245"$"0"
"343"$"325"$"Davor Vugrinec"$"78"$"1098"$"0"
"344"$"326"$"Igor Bišćan"$"44"$"2765"$"0"
"345"$"326"$"Josip Šiniić"$"64"$"3680"$"0"
"346"$"327"$"Stjepan Tomas"$"88"$"1097"$"0"
"347"$"329"$"Mario Stanić"$"34"$"1102"$"0"
"348"$"329"$"Zvonimir Soldo"$"55"$"319"$"0"
"349"$"330"$"Davor Šuker"$"90"$"1"$"0"
"350"$"331"$"Alen Bokšić"$"20"$"1101"$"0"
"351"$"331"$"Mario Stanić"$"36"$"1102"$"0"
"352"$"334"$"Niko Kovač"$"70"$"185"$"0"
"353"$"335"$"Alen Bokšić"$"29"$"1101"$"0"
"354"$"335"$"Mario Stanić"$"66"$"1102"$"0"
"355"$"337"$"Baško Balaban"$"70"$"1100"$"0"
"356"$"339"$"Alen Bokšić"$"16"$"1101"$"0"
"357"$"340"$"Davor Vugrinec"$"35"$"1098"$"0"
"358"$"341"$"Boško Balaban"$"8"$"1100"$"0"
"359"$"341"$"Boško Balaban"$"42"$"1100"$"0"
"360"$"341"$"Boško Balaban"$"45"$"1100"$"0"
"361"$"341"$"Davor Vugrinec"$"89"$"1098"$"0"
"362"$"342"$"Goran Vlaović"$"67"$"1094"$"0"
"363"$"342"$"Milan Rapaić"$"90"$"1103"$"0"
"364"$"343"$"Goran Vlaović (З); Boško Balaban"$"29"$"1094"$"0"
"365"$"343"$"Davor Šuker"$"54"$"1"$"0"
"366"$"343"$"Davor Vugrinec"$"61"$"1098"$"0"
"367"$"344"$"Boško Balaban."$"40"$"1100"$"0"
"368"$"345"$"Davor Vugrinec"$"80"$"1098"$"0"
"369"$"345"$"Davor Šuker"$"90"$"1"$"0"
"370"$"347"$". Nico Kovač"$"40"$"185"$"0"
"371"$"347"$"Robert Prošincčki"$"48"$"1099"$"0"
"372"$"347"$"Zvonimir Soldu"$"77"$"319"$"0"
"373"$"347"$"Robert Prosińečki"$"90"$"1099"$"0"
"374"$"348"$"Alen Bokšić"$"75"$"1101"$"0"
