8188,10.02.1999,CÝPRUS,SAN MARINO	
8194,10.10.1999,АUЅТRІА,CYPRUS	
8195,02.02.2000,CYPRUS,LIFHUANIA	
8204,26.02.2001,CYPLUS,LITHUANIA	
8205,28.02.2001,CYPLUs,UKRAINE	
8257,06.10.1918,DENIbIARK,NORWAY	
8266,10.10.1920,ŚWEDEN,DENMARK	
8273,10.09.1922,NORWAY,DENIIARK	
8435,04.11.1956,DENMARK,BOLLAND	
8446,15.05.1958,DENMARK,DUTCH ANTILLES	
8482,11.09.1962,DENMARK,DUTCH ANTILLES	
8543,15.01.1969,SURINAM,DENMARK	
8579,07.06.1972,DENMARK,F INLAND	
8600,10.03.1974,DAHOMEY,DENMARK	
8635,24.05.1978,DENMARK,REPUBLIC 
8670,20.05.1982,AUSтRIA,DENMARK	
8702,12.69.1984,DENMARK,AUЛTRIA	
8736,18.11.1987,іЯ NМARK,WEST GERMANY Olympic	
8744,11.06.1988,ŚPAIN,DENMARK	
8805,03.06.1992,DENMARK,C.I.S.	
8854,07.03.1891,ENGLAND,WΛLES	
8868,13.03.1893,ENGLAND,WALEŚ	
8874,12.03.1894,WALES,ENGLANЛ	
8894,14.08.1996,SVEDEN,DENMARK	
8909,20.08.1997,BOŚNIA-HERZEGOVINA,DENMARK	
8938,05.09.1998,BELGRUS,DENMARK	
8941,01.04.1905,ENGLAND,SCOTLANП	
8946,07.04.1906,SCΠTLAND,ENGLAND	
8951,05.06.1999,DENMARK,BELGRUS	
8952,06.04.1907,ENGLAND,SCOTLANI)	
8957,04.04.1908,SCOTLAND,ENGLANЛ	
9023,26.05.2002,DENMARK,TUNISЖA	
9040,03.03.1924,ENGLANT),WALES	
9048,02.04.2003,DENMARK,ВOSNIA-HERZEGOVINA	
9062,11.10.2003,ВOŚNIA-HERZEGOVINA,DENMARK	
9132,26.10.1938,ENGLAND,F.I.F,A. X
9194,21.10.1953,ENGLAND,F.I.F.A.-WORLD XI	
9285,23.10.1963,ENGLAND,F.I,F.A.-WORLD XI	
9326,24.05.1967,ENGLAND,ŚPAIN	
9338,06.11.1968,ROМÂNIA,ENGLAND	
9420,30.03.1977,ENGLAND,LUXEr"IBOURG	
9510,01.07.1927,SWEDEN,EŚTONIA	
9512,10.08.1927,EŚTONIA,FINLAND	
9530,25.07.1929,ESTΠNIA,FINLAND	
9536,27.08.1929,FINLAND,ESTΠNIA	
9540,27.06.1930,EŚTONIA,LATVIA	
9582,11.06.1933,SWEDEN,ESTOŃIA	
9595,29.06.1934,LITHUANIA,EŠTONIA	
9601,12.06.1935,LATVIA,ESTONIÁ	
9661,04.08.1939,FINLAŃD,ESTONIA	
9680,07.04.1993,SLOVENIA,EŚTONIA	
9682,14.04.1993,ITALY,ESTONIλ	
9692,04.07.1993,ESTONIλ,LITHUANIA	
9711,7.03.1991,ENGLAND,REPUBLIC OF IP.ELAND	
9714,30.07.1994,LATVIA,EŚTONIA	
9722,26.10.1994,EŚTONIA,FINLAND	
